ROI,Effect,MeanEffect,StdEffect,StderrEffect
32,SProd,1.753050,1.526174,0.407887
32,EvSem,0.627218,0.786911,0.210311
32,WProd,1.928116,1.509402,0.403405
32,SComp,0.386356,0.801166,0.214121
32,WComp,0.339706,0.657886,0.175827
32,Artic,2.009003,1.734645,0.463603
33,SProd,1.270482,0.915617,0.244709
33,EvSem,1.108373,0.706522,0.188826
33,WProd,1.666244,1.321519,0.353191
33,SComp,0.618523,0.615716,0.164557
33,WComp,0.638158,0.568799,0.152018
33,Artic,1.277453,0.966578,0.258329
34,SProd,0.512146,0.463090,0.123766
34,EvSem,0.160047,0.181209,0.048430
34,WProd,0.587198,0.534502,0.142852
34,SComp,0.034624,0.198783,0.053127
34,WComp,0.046778,0.202392,0.054092
34,Artic,0.698507,0.616341,0.164724
35,SProd,1.099801,0.765899,0.204695
35,EvSem,0.711985,0.493544,0.131905
35,WProd,1.244324,0.886701,0.236981
35,SComp,0.724085,0.658833,0.176080
35,WComp,0.781513,0.646909,0.172894
35,Artic,1.111976,0.820268,0.219226
36,SProd,1.093803,0.974374,0.260412
36,EvSem,0.385276,0.722259,0.193032
36,WProd,1.352489,1.216782,0.325199
36,SComp,0.201387,0.440879,0.117830
36,WComp,0.310314,0.508273,0.135842
36,Artic,1.655360,1.335637,0.356964
37,SProd,0.856660,0.795245,0.212538
37,EvSem,0.368666,0.356766,0.095350
37,WProd,0.941331,0.874701,0.233774
37,SComp,0.055544,0.271237,0.072491
37,WComp,0.079379,0.324748,0.086793
37,Artic,1.004333,0.728672,0.194746
38,SProd,0.992026,0.919403,0.245721
38,EvSem,0.998045,0.714287,0.190901
38,WProd,1.759160,1.756302,0.469391
38,SComp,0.428160,0.590271,0.157756
38,WComp,0.422658,0.342755,0.091605
38,Artic,1.031083,0.982714,0.262641
39,SProd,0.665359,0.574271,0.153480
39,EvSem,0.192661,0.422862,0.113015
39,WProd,0.771961,0.653883,0.174757
39,SComp,0.218426,0.177239,0.047369
39,WComp,0.271603,0.382448,0.102213
39,Artic,1.037534,0.810528,0.216623
40,SProd,0.631372,0.649037,0.173462
40,EvSem,0.263270,0.265323,0.070910
40,WProd,0.747826,0.645342,0.172475
40,SComp,0.042293,0.244537,0.065355
40,WComp,-0.006776,0.272345,0.072787
40,Artic,0.796696,0.635569,0.169863
41,SProd,0.535863,0.673769,0.180072
41,EvSem,0.739920,0.553782,0.148005
41,WProd,0.739431,0.827499,0.221159
41,SComp,0.236325,0.559702,0.149587
41,WComp,0.328462,0.522319,0.139596
41,Artic,1.187533,0.880864,0.235421
42,SProd,0.959169,0.992718,0.265315
42,EvSem,0.280358,0.861475,0.230239
42,WProd,0.981139,1.117777,0.298738
42,SComp,0.241861,0.616214,0.164690
42,WComp,0.275959,0.494300,0.132107
42,Artic,1.664786,1.069640,0.285873
43,SProd,0.616670,0.466406,0.124652
43,EvSem,0.273093,0.242871,0.064910
43,WProd,0.683950,0.516881,0.138142
43,SComp,0.157596,0.120279,0.032146
43,WComp,0.111055,0.187684,0.050161
43,Artic,0.749762,0.501978,0.134159
44,SProd,0.928593,1.076158,0.287615
44,EvSem,0.378454,0.440457,0.117717
44,WProd,1.126513,1.129150,0.301778
44,SComp,0.075195,0.441705,0.118051
44,WComp,0.275128,0.458041,0.122417
44,Artic,1.395433,1.337359,0.357424
45,SProd,0.765011,1.057044,0.282507
45,EvSem,0.165050,0.398042,0.106381
45,WProd,0.822128,1.284720,0.343356
45,SComp,0.110201,0.518958,0.138697
45,WComp,0.210461,0.528444,0.141232
45,Artic,1.102761,1.309187,0.349895
46,SProd,0.337933,0.502670,0.134344
46,EvSem,0.181235,0.620529,0.165843
46,WProd,1.301382,1.038724,0.277611
46,SComp,0.400124,0.538042,0.143798
46,WComp,0.373453,0.389879,0.104199
46,Artic,0.862322,0.798130,0.213309
47,SProd,0.508913,0.527629,0.141015
47,EvSem,0.301764,0.416853,0.111409
47,WProd,1.122528,1.131459,0.302395
47,SComp,0.325902,0.402938,0.107690
47,WComp,0.323266,0.344853,0.092166
47,Artic,0.774458,0.796280,0.212815
48,SProd,0.638402,0.487182,0.130205
48,EvSem,0.361445,0.284850,0.076129
48,WProd,0.659229,0.538746,0.143986
48,SComp,0.119807,0.194895,0.052088
48,WComp,0.103685,0.320842,0.085749
48,Artic,0.720233,0.506406,0.135343
49,SProd,0.708310,1.432012,0.382721
49,EvSem,-0.106973,0.837478,0.223825
49,WProd,1.171305,1.902594,0.508490
49,SComp,0.067883,0.437156,0.116835
49,WComp,0.124148,0.802516,0.214481
49,Artic,1.626528,2.119329,0.566415
50,SProd,0.615571,0.813809,0.217500
50,EvSem,0.184347,0.394379,0.105402
50,WProd,0.676903,0.597296,0.159634
50,SComp,0.002922,0.259218,0.069279
50,WComp,0.013787,0.309175,0.082630
50,Artic,0.834079,0.779558,0.208346
51,SProd,1.087029,1.268486,0.339017
51,EvSem,0.315744,0.649235,0.173515
51,WProd,1.154546,1.107750,0.296059
51,SComp,0.085847,0.544142,0.145428
51,WComp,0.060721,0.518557,0.138590
51,Artic,1.189678,1.063300,0.284179
52,SProd,1.175806,1.493726,0.399215
