production,img,hit,subject_np,vp,subject_np_head,vp_head
A marathon runner stopping to tie their shoes.,4952277054.jpg,1,A marathon runner, stopping to tie their shoes,runner,stopping
A runner is tying his shoe.,4952277054.jpg,1,A runner,is tying his shoe.,runner,tying
A man stoops to tie his shoe,4952277054.jpg,1,A man, stops to tie his shoe,man,stops
A runner has stopped to tie his shoe.,4952277054.jpg,1,A runner, has stopped to tie his shoe.,runner,stopped
a man is tying his shoe.,4952277054.jpg,1,a man,is tying his shoe.,man,tying
A man is tying his shoe.,4952277054.jpg,1,A man,is tying his shoe.,man,tying
A man is tying his shoes outdoor.,4952277054.jpg,1,A man,is tying his shoes outdoor.,man,tying
A bald white man wearing a runners bib number is bent down tying his shoe.,4952277054.jpg,1,A bald white man, is bent down tying his shoe.,man,is
A man in running gear is bent on one knee tying his shoe.,4952277054.jpg,1,A man, is bent on one knee tying his shoe.,man,is
A runner has stopped to tie his shoe.,4952277054.jpg,1,A runner, has stopped to tie his shoe.,runner,stopped
A man kneels on the ground as he ties his shoe.,4952277054.jpg,1,A man, kneels on the ground as he ties his shoe.,man,kneels
A runner ties his shoes.,4952277054.jpg,1,A runner, ties his shoes.,runner,ties
he adjusting the shoelace,4952277054.jpg,1,he, adjusting the shoelace,he,adjusting
A runner is tying his shoe near a metal fence.,4952277054.jpg,1,A runner,is tying his shoe near a metal fence.,runner,tying
A man in running clothes is bent over typing his shoe lace.,4952277054.jpg,1,A man, is bent over typing his shoe lace.,man,is
A runner in a marathon stops to tie his shoe.,4952277054.jpg,1,A runner, stops to tie his shoe,runner,stops
A man is tying his shoes in an alleyway.,4952277054.jpg,1,A man,is tying his shoes in an alleyway.,man,tying
a guy tying his shoe,4952277054.jpg,1,a guy, tying his shoe,guy,tying
A man is bent down tying his shoelaces,4952277054.jpg,1,A man, is bent down tying his shoelaces,man,is
A runner is stopping to tie his shoelaces.,4952277054.jpg,1,A runner,is stopping to tie his shoelaces.,runner,stopping
A man kneels down and ties his shoes.,4952277054.jpg,1,A man, kneels down and ties his shoes.,man,kneels
An athletic woman climbs a rope.,5572347874.jpg,1,An athletic woman, climbs a rope.,woman,climbs
A woman is climbing a rope.,5572347874.jpg,1,A woman,is climbing a rope.,woman,climbing
Someone is climbing a rope.,5572347874.jpg,1,Someone,is climbing a rope.,Someone,climbing
A man climbing up a rope at a gym.,5572347874.jpg,1,A man, climbing up a rope at a gym,man,climbing
A man is climbing up a rope.,5572347874.jpg,1,A man,is climbing up a rope.,man,climbing
A person is climbing a rope is what seems to be a crossfit class.,5572347874.jpg,1,A person, is climbing a rope in what seems to be a crossfit class.,person,climbing
A man is climbing a rope attached to the ceiling.,5572347874.jpg,1,A man,is climbing a rope attached to the ceiling.,man,climbing
A woman is climbing up a rope,5572347874.jpg,1,A woman,is climbing up a rope,woman,climbing
A woman is climbing a rope.,5572347874.jpg,1,A woman,is climbing a rope.,woman,climbing
A body builder is practicing climbing a rope.,5572347874.jpg,1,A bodybuilder,is practicing climbing a rope.,bodybuilder,practicing
a woman climbs up a rope.,5572347874.jpg,1,a woman, climbs up a rope.,woman,climbs
A woman is climbing a rope.,5572347874.jpg,1,A woman,is climbing a rope.,woman,climbing
A short haired woman wearing a pink tank top and black shorts climbs a rope indoors.,5572347874.jpg,1,A short haired woman, climbs a rope indoors.,woman,climbs
He climbs on the rope,5572347874.jpg,1,He, climbs on the rope,He,climbs
A person is climbing a rope.,5572347874.jpg,1,A person,is climbing a rope.,person,climbing
A person is climbing a rope using their own strength in a room with an orange wall.,5572347874.jpg,1,A person,is climbing a rope using their own strength in a room with an orange wall.,person,climbing
A person is climbing a rope,5572347874.jpg,1,A person,is climbing a rope,person,climbing
A young man is climbing a rope.,5572347874.jpg,1,A young man,is climbing a rope.,man,climbing
A man climbs a rope.,5572347874.jpg,1,A man, climbs a rope.,man,climbs
A young man is climbing a rope.,5572347874.jpg,1,A young man,is climbing a rope.,man,climbing
A woman is climbing a rope in a Crossfit gym.,5572347874.jpg,1,A woman,is climbing a rope in a Crossfit gym.,woman,climbing
A woman is climbing a rope,5572347874.jpg,1,A woman,is climbing a rope,woman,climbing
A person is climbing a rope.,5572347874.jpg,1,A person,is climbing a rope.,person,climbing
A man in a purple shirt is seen climbing up a vertical rope inside a building.,5572347874.jpg,1,A man in a purple shirt,is seen climbing up a vertical rope inside a building.,man,is
A woman is trying to climb a rope.,5572347874.jpg,1,A woman,is trying to climb a rope.,woman,trying
a guy climbing a rope,5572347874.jpg,1,a guy, climbing a rope,guy,climbing
A teenage boy is climbing a rope.,5572347874.jpg,1,A teenage boy,is climbing a rope.,boy,climbing
Someone is climbing a rope,5572347874.jpg,1,Someone,is climbing a rope,Someone,climbing
A person in a purple tank top is climbing a rope.,5572347874.jpg,1,A person,is climbing a rope.,person,climbing
A bartender pours a drink at the bar.,6848900321.jpg,1,A bartender, pours a drink at the bar.,bartender,pours
A man dressed in formal wear is pouring a drink into a wine glass.,6848900321.jpg,1,A man,is pouring a drink into a wine glass.,man,pouring
A man is pouring a drink into a martini glass.,6848900321.jpg,1,A man,is pouring a drink into a martini glass.,man,pouring
a guy pouring a drink,6848900321.jpg,1,a guy, pouring a drink,guy,pouring
A bartender is making drinks.,6848900321.jpg,1,A bartender,is making drinks.,bartender,making
A man is pouring alcohol.,6848900321.jpg,1,A man,is pouring alcohol.,man,pouring
a bartender is pouring a drink.,6848900321.jpg,1,a bartender,is pouring a drink.,bartender,pouring
