network, fROI, cond1, cond1_src, cond2, cond2_src, warning_message
lang, 4, SProd_typed, expt3_prod, N, expt3_langloc , boundary (singular) fit
lang, 5, SProd_typed, expt3_prod, N, expt3_langloc , 
lang, 6, SProd_typed, expt3_prod, N, expt3_langloc , 
lang, 1-6, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 1, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 2, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 3, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 4, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 5, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 6, SProd_typed, expt3_prod, VisEvSem, expt3_prod , 
lang, 1-6, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , 
lang, 1, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , 
lang, 2, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , 
lang, 3, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , boundary (singular) fit
lang, 4, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , 
lang, 5, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , 
lang, 6, SProd_typed, expt3_prod, SProd, expt1_prod_speakANDtype , 
lang, 1-6, WProd, expt1_prod, NProd, expt1_prod , 
lang, 1, WProd, expt1_prod, NProd, expt1_prod , 
lang, 2, WProd, expt1_prod, NProd, expt1_prod , 
lang, 3, WProd, expt1_prod, NProd, expt1_prod , 
lang, 4, WProd, expt1_prod, NProd, expt1_prod , 
lang, 5, WProd, expt1_prod, NProd, expt1_prod , 
lang, 6, WProd, expt1_prod, NProd, expt1_prod , 
lang, 1-6, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 1, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 2, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 3, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 4, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 5, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 6, WProd_typed, expt3_prod, NProd_typed, expt3_prod , 
lang, 1-6, SProd, expt1_prod, WProd, expt1_prod , 
lang, 1, SProd, expt1_prod, WProd, expt1_prod , 
lang, 2, SProd, expt1_prod, WProd, expt1_prod , 
lang, 3, SProd, expt1_prod, WProd, expt1_prod , 
lang, 4, SProd, expt1_prod, WProd, expt1_prod , 
lang, 5, SProd, expt1_prod, WProd, expt1_prod , 
lang, 6, SProd, expt1_prod, WProd, expt1_prod , 
lang, 1-6, SProd, expt2_prod, WProd, expt2_prod , 
lang, 1, SProd, expt2_prod, WProd, expt2_prod , 
lang, 2, SProd, expt2_prod, WProd, expt2_prod , 
lang, 3, SProd, expt2_prod, WProd, expt2_prod , 
lang, 4, SProd, expt2_prod, WProd, expt2_prod , 
lang, 5, SProd, expt2_prod, WProd, expt2_prod , 
lang, 6, SProd, expt2_prod, WProd, expt2_prod , 
lang, 1-6, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
lang, 1, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
lang, 2, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
lang, 3, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
lang, 4, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
lang, 5, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
lang, 6, SProd_typed, expt3_prod, WProd_typed, expt3_prod , 
MD, 1-20, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 1, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 2, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 3, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 4, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 5, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 6, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 7, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 8, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 9, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
MD, 10, SProd, expt1_MD_prod, WProd, expt1_MD_prod , 
