ROI,Effect,MeanEffect,StdEffect,StderrEffect,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
9,NProd,0.933695,0.691165,0.184722,E1,lang,S>N,ProdLoc_spoken,MFG,1,RH
9,VisEvSem,0.192993,0.445553,0.119079,E1,lang,S>N,ProdLoc_spoken,MFG,1,RH
10,SProd,0.585774,0.612281,0.163639,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,RH
10,WProd,0.387892,0.477614,0.127648,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,RH
10,SComp,0.108919,0.552098,0.147554,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,RH
10,WComp,0.084042,0.694073,0.185499,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,RH
10,NProd,0.709554,0.947171,0.253142,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,RH
10,VisEvSem,7.36e-4,0.702476,0.187745,E1,lang,S>N,ProdLoc_spoken,AntTemp,1,RH
11,SProd,0.344032,0.7507,0.200633,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,RH
11,WProd,0.182147,0.779523,0.208336,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,RH
11,SComp,0.094529,0.219333,0.058619,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,RH
11,WComp,0.05647,0.274449,0.073349,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,RH
11,NProd,0.401778,0.528049,0.141127,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,RH
11,VisEvSem,-0.017596,0.500138,0.133667,E1,lang,S>N,ProdLoc_spoken,PostTemp,1,RH
12,SProd,0.011262,1.295461,0.346226,E1,lang,S>N,ProdLoc_spoken,AngG,1,RH
12,WProd,-0.143404,1.493404,0.399129,E1,lang,S>N,ProdLoc_spoken,AngG,1,RH
12,SComp,0.064369,0.509958,0.136292,E1,lang,S>N,ProdLoc_spoken,AngG,1,RH
12,WComp,-0.120618,0.603128,0.161193,E1,lang,S>N,ProdLoc_spoken,AngG,1,RH
12,NProd,-0.355265,1.142996,0.305478,E1,lang,S>N,ProdLoc_spoken,AngG,1,RH
12,VisEvSem,0.308657,0.789772,0.211075,E1,lang,S>N,ProdLoc_spoken,AngG,1,RH
1,SProd,1.28407,1.614259,0.431429,E3,lang,S>N,ProdLoc_typed,IFGorb,1,LH
1,WProd,0.264468,1.59065,0.425119,E3,lang,S>N,ProdLoc_typed,IFGorb,1,LH
1,SComp,0.602333,0.864601,0.231074,E3,lang,S>N,ProdLoc_typed,IFGorb,1,LH
1,WComp,0.429342,0.956923,0.255748,E3,lang,S>N,ProdLoc_typed,IFGorb,1,LH
1,NProd,0.308904,1.556411,0.415968,E3,lang,S>N,ProdLoc_typed,IFGorb,1,LH
