ROI,Subject,Effect,LocalizerSize,EffectSize,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
5,756_FED_20190411b_3T2_PL2017,N,294,0.708228,E1,lang,S>N,langloc,PostTemp,0,LH
5,757_FED_20190411c_3T2_PL2017,S,294,3.130456,E1,lang,S>N,langloc,PostTemp,0,LH
5,757_FED_20190411c_3T2_PL2017,N,294,0.914444,E1,lang,S>N,langloc,PostTemp,0,LH
5,758_FED_20190411d_3T2_PL2017,S,294,1.668441,E1,lang,S>N,langloc,PostTemp,0,LH
5,758_FED_20190411d_3T2_PL2017,N,294,0.378162,E1,lang,S>N,langloc,PostTemp,0,LH
5,768_FED_20190517a_3T2_PL2017,S,294,2.089035,E1,lang,S>N,langloc,PostTemp,0,LH
5,768_FED_20190517a_3T2_PL2017,N,294,0.618762,E1,lang,S>N,langloc,PostTemp,0,LH
6,742_FED_20190320b_3T2_PL2017,S,64,-0.036078,E1,lang,S>N,langloc,AngG,0,LH
6,742_FED_20190320b_3T2_PL2017,N,64,-0.031835,E1,lang,S>N,langloc,AngG,0,LH
6,746_FED_20190328a_3T2_PL2017,S,64,0.178134,E1,lang,S>N,langloc,AngG,0,LH
6,746_FED_20190328a_3T2_PL2017,N,64,-0.328148,E1,lang,S>N,langloc,AngG,0,LH
6,747_FED_20190328b_3T2_PL2017,S,64,0.507555,E1,lang,S>N,langloc,AngG,0,LH
6,747_FED_20190328b_3T2_PL2017,N,64,0.310695,E1,lang,S>N,langloc,AngG,0,LH
6,748_FED_20190328c_3T2_PL2017,S,64,0.082157,E1,lang,S>N,langloc,AngG,0,LH
6,748_FED_20190328c_3T2_PL2017,N,64,-0.360469,E1,lang,S>N,langloc,AngG,0,LH
6,749_FED_20190404a_3T2_PL2017,S,64,-1.165782,E1,lang,S>N,langloc,AngG,0,LH
6,749_FED_20190404a_3T2_PL2017,N,64,-1.565564,E1,lang,S>N,langloc,AngG,0,LH
6,750_FED_20190404b_3T2_PL2017,S,64,-0.078429,E1,lang,S>N,langloc,AngG,0,LH
6,750_FED_20190404b_3T2_PL2017,N,64,-0.53236000000000006,E1,lang,S>N,langloc,AngG,0,LH
6,751_FED_20190404c_3T2_PL2017,S,64,0.015103,E1,lang,S>N,langloc,AngG,0,LH
6,751_FED_20190404c_3T2_PL2017,N,64,-1.244892,E1,lang,S>N,langloc,AngG,0,LH
6,752_FED_20190404d_3T2_PL2017,S,64,0.452053,E1,lang,S>N,langloc,AngG,0,LH
6,752_FED_20190404d_3T2_PL2017,N,64,-0.635891,E1,lang,S>N,langloc,AngG,0,LH
6,753_FED_20190405a_3T2_PL2017,S,64,-0.023276,E1,lang,S>N,langloc,AngG,0,LH
6,753_FED_20190405a_3T2_PL2017,N,64,-0.238498,E1,lang,S>N,langloc,AngG,0,LH
6,754_FED_20190405b_3T2_PL2017,S,64,0.066119,E1,lang,S>N,langloc,AngG,0,LH
6,754_FED_20190405b_3T2_PL2017,N,64,0.322055,E1,lang,S>N,langloc,AngG,0,LH
6,755_FED_20190411a_3T2_PL2017,S,64,-0.187828,E1,lang,S>N,langloc,AngG,0,LH
6,755_FED_20190411a_3T2_PL2017,N,64,-0.502266,E1,lang,S>N,langloc,AngG,0,LH
6,756_FED_20190411b_3T2_PL2017,S,64,-0.089925,E1,lang,S>N,langloc,AngG,0,LH
6,756_FED_20190411b_3T2_PL2017,N,64,-0.969575,E1,lang,S>N,langloc,AngG,0,LH
6,757_FED_20190411c_3T2_PL2017,S,64,0.732986,E1,lang,S>N,langloc,AngG,0,LH
6,757_FED_20190411c_3T2_PL2017,N,64,-0.784796,E1,lang,S>N,langloc,AngG,0,LH
6,758_FED_20190411d_3T2_PL2017,S,64,-0.528226,E1,lang,S>N,langloc,AngG,0,LH
6,758_FED_20190411d_3T2_PL2017,N,64,-0.535481,E1,lang,S>N,langloc,AngG,0,LH
6,768_FED_20190517a_3T2_PL2017,S,64,0.374734,E1,lang,S>N,langloc,AngG,0,LH
6,768_FED_20190517a_3T2_PL2017,N,64,-0.085491,E1,lang,S>N,langloc,AngG,0,LH
7,742_FED_20190320b_3T2_PL2017,S,37,0.655597,E1,lang,S>N,langloc,IFGorb,0,RH
7,742_FED_20190320b_3T2_PL2017,N,37,0.413125,E1,lang,S>N,langloc,IFGorb,0,RH
